127.0.0.1 - - [20/Nov/2022:21:51:29 +0900] "GET / HTTP/1.1" 200 28165
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:37 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:37 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:37 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:37 +0900] "GET /resources/img/undraw_profile_1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:37 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/img/undraw_profile_2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/img/undraw_profile.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/img/undraw_profile_3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "POST /portfolio/detail HTTP/1.1" 200 49617
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:38 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2022:21:51:48 +0900] "GET /interest HTTP/1.1" 200 118914
